title,company,location,link
Python Developer (Infrastructure),Lesta Games,Москва,https://lobnya.hh.ru/vacancy/76680884?from=vacancy_search_list&query=django
Python developer (Банк),ООО АЙТИ.СПЕЙС,Москва,https://lobnya.hh.ru/vacancy/77262071?from=vacancy_search_list&query=django
Python разработчик,Сбер для экспертов,Москва,https://lobnya.hh.ru/vacancy/79614896?from=vacancy_search_list&query=django
Python Backend Developer (+NLP),Технологика,Новосибирск,https://lobnya.hh.ru/vacancy/77403721?from=vacancy_search_list&query=django
Middle back-end разработчик,ТОО Airba Fresh,Алматы,https://lobnya.hh.ru/vacancy/78698532?from=vacancy_search_list&query=django
Fullstack разработчик,E-COM PORTAL,Казань,https://lobnya.hh.ru/vacancy/79550898?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Сочи,https://lobnya.hh.ru/vacancy/79177575?from=vacancy_search_list&query=django
"Преподаватель программирования (индивидуальные уроки, удалённо)",ИП Березняк Антон Викторович,Казань,https://lobnya.hh.ru/vacancy/79149780?from=vacancy_search_list&query=django
Data engineer (middle+),ИП Мамаева Ирина Анатольевна,Москва,https://lobnya.hh.ru/vacancy/78519105?from=vacancy_search_list&query=django
"Преподаватель по курсу ""Python""",ТОО ITSTEP Junior Almaty,Алматы,https://lobnya.hh.ru/vacancy/79604155?from=vacancy_search_list&query=django
Преподаватель разработки игр на Python в онлайн-школу для детей (удаленно),Компьютерная школа IT-Compot,Москва,https://lobnya.hh.ru/vacancy/78509570?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Новосибирск,https://lobnya.hh.ru/vacancy/79177579?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Нижний Новгород,https://lobnya.hh.ru/vacancy/79177580?from=vacancy_search_list&query=django
Senior Python Developer,АО НИИ МАСШТАБ,Сочи,https://lobnya.hh.ru/vacancy/78743030?from=vacancy_search_list&query=django
Fullstack developer Python-JS / Фулстек-Разработчик,ООО НТ Прогресс,Москва,https://lobnya.hh.ru/vacancy/72731847?from=vacancy_search_list&query=django
Преподаватель разработки игр на Python в онлайн-школу для детей (удаленно),Компьютерная школа IT-Compot,Казань,https://lobnya.hh.ru/vacancy/78800381?from=vacancy_search_list&query=django
Python Middle+/Senior Developer,ЕДИНЫЙ ЦУПИС,Москва,https://lobnya.hh.ru/vacancy/78406480?from=vacancy_search_list&query=django
Python Developer (Senior/Tech Lead),ООО Kanda CA,Польша,https://lobnya.hh.ru/vacancy/78500415?from=vacancy_search_list&query=django
Full-stack разработчик Vuejs/React + Django,Production IT,Москва,https://lobnya.hh.ru/vacancy/78495149?from=vacancy_search_list&query=django
Python developer,ООО АйТи Интеллект,Москва,https://lobnya.hh.ru/vacancy/77302829?from=vacancy_search_list&query=django
Senior Python Developer,АО НИИ МАСШТАБ,Санкт-Петербург,https://lobnya.hh.ru/vacancy/78743031?from=vacancy_search_list&query=django
Python Developer (Senior/Tech Lead),ООО Kanda CA,Астана,https://lobnya.hh.ru/vacancy/78500416?from=vacancy_search_list&query=django
Программист Python / Инженер по машинному обучению (Computer Vision),TempoJob,Москва,https://lobnya.hh.ru/vacancy/79584660?from=vacancy_search_list&query=django
"Fullstack-разработчик (80% Python, 20% Vue.js)",FunFlow (ООО Мобильные Игровые Решения),Москва,https://lobnya.hh.ru/vacancy/79613567?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Ростов-на-Дону,https://lobnya.hh.ru/vacancy/78743037?from=vacancy_search_list&query=django
Backend-разработчик в Контентные проекты,Сбер. IT,Москва,https://lobnya.hh.ru/vacancy/79582840?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Казань,https://lobnya.hh.ru/vacancy/78743035?from=vacancy_search_list&query=django
Senior Python developer (MTS AI),ПАО МТС,Москва,https://lobnya.hh.ru/vacancy/77551628?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Омск,https://lobnya.hh.ru/vacancy/78743032?from=vacancy_search_list&query=django
Руководитель разработки / TechLead (Python),Группа Самолет,Москва,https://lobnya.hh.ru/vacancy/79139590?from=vacancy_search_list&query=django
Python junior,KTS,Москва,https://lobnya.hh.ru/vacancy/79555102?from=vacancy_search_list&query=django
Python BackEnd разработчик,ИП Горбунов Илья Николаевич,Новосибирск,https://lobnya.hh.ru/vacancy/78474203?from=vacancy_search_list&query=django
Senior Python Backend Developer (to Cyprus),FaceApp,Кипр,https://lobnya.hh.ru/vacancy/68784685?from=vacancy_search_list&query=django
"Lead fullstack developer (python, vue.js)",Cognitive Pilot,Томск,https://lobnya.hh.ru/vacancy/74069428?from=vacancy_search_list&query=django
Team lead отдела разработки,Call-центр Синтоник,Москва,https://lobnya.hh.ru/vacancy/79367538?from=vacancy_search_list&query=django
Back-end разработчик,ООО Специальные технологии контроля,Москва,https://lobnya.hh.ru/vacancy/79050322?from=vacancy_search_list&query=django
TeamLead / руководитель команды разработки (Python),X5 Tech,Москва,https://lobnya.hh.ru/vacancy/79588290?from=vacancy_search_list&query=django
Frontend-разработчик/Верстальщик,Sinergium,Воронеж,https://lobnya.hh.ru/vacancy/78584065?from=vacancy_search_list&query=django
Программист прикладного ПО,АТБ Электроника,Москва,https://lobnya.hh.ru/vacancy/78519224?from=vacancy_search_list&query=django
Методолог в отдел продукта,ИП Армар,Алматы,https://lobnya.hh.ru/vacancy/78507617?from=vacancy_search_list&query=django
Senior Python Developer,Artezio,Польша,https://lobnya.hh.ru/vacancy/78832311?from=vacancy_search_list&query=django
Senior Python Developer,Artezio,Тбилиси,https://lobnya.hh.ru/vacancy/78832112?from=vacancy_search_list&query=django
Руководитель отдела разработки и тестирования / TeamLead команды разработки,CATAPULTO.RU,Москва,https://lobnya.hh.ru/vacancy/77649538?from=vacancy_search_list&query=django
Data Engineer (Senior),Группа Самолет,Москва,https://lobnya.hh.ru/vacancy/78586005?from=vacancy_search_list&query=django
"Frontend-Developer / Фронтенд-Разработчик (React, TypeScript)",ООО НТ Прогресс,Москва,https://lobnya.hh.ru/vacancy/72731102?from=vacancy_search_list&query=django
Web-разработчик (full stack),ООО Сибмайн К,Москва,https://lobnya.hh.ru/vacancy/79555177?from=vacancy_search_list&query=django
Главный специалист в отделе ИТ/Разработчик,ГКУ города Москвы Центр занятости населения города Москвы,Москва,https://lobnya.hh.ru/vacancy/79609519?from=vacancy_search_list&query=django
Разработчик JavaScript (Node.js/back-end),OneTwoTrip,Москва,https://lobnya.hh.ru/vacancy/79617598?from=vacancy_search_list&query=django
Разработчик JavaScript (Node.js/back-end),OneTwoTrip,Санкт-Петербург,https://lobnya.hh.ru/vacancy/79618738?from=vacancy_search_list&query=django
CTO (Chief technology officer) / Team Lead+ (AdTech),Programmatica.com,Москва,https://lobnya.hh.ru/vacancy/79371581?from=vacancy_search_list&query=django
DevOps Engineer,BestDoctor,Москва,https://lobnya.hh.ru/vacancy/78369151?from=vacancy_search_list&query=django
QA инженер-автоматизатор,АНО ЦИСМ,Москва,https://lobnya.hh.ru/vacancy/78938581?from=vacancy_search_list&query=django
Frontend Developer,Aviasales.ru,Москва,https://lobnya.hh.ru/vacancy/79139477?from=vacancy_search_list&query=django
Технический директор / CTO,ООО ЭС-АЙ Безопасность,Москва,https://lobnya.hh.ru/vacancy/78948395?from=vacancy_search_list&query=django
Registar-order processing support Specialist,Alao CH,Ростов-на-Дону,https://lobnya.hh.ru/vacancy/78695556?from=vacancy_search_list&query=django
Technical Product Lead (remote work),Petrosoft LLC,США,https://lobnya.hh.ru/vacancy/79616347?from=vacancy_search_list&query=django
Технический директор,ООО Верме,Москва,https://lobnya.hh.ru/vacancy/77477674?from=vacancy_search_list&query=django
Project Manager / Менеджер проектов (Middle/Senior),KODE,Калининград,https://lobnya.hh.ru/vacancy/79610388?from=vacancy_search_list&query=django
Начальник отдела анализа защищенности ПО АСУТП,АО Транснефть-Верхняя Волга,Нижний Новгород,https://lobnya.hh.ru/vacancy/77533659?from=vacancy_search_list&query=django
Оператор семейного парка развлечений,ООО УК Семейный Парк,Екатеринбург,https://lobnya.hh.ru/vacancy/79593717?from=vacancy_search_list&query=django
Администратор ГИС,Институт Географических Информационных Технологий,Санкт-Петербург,https://lobnya.hh.ru/vacancy/78500803?from=vacancy_search_list&query=django
Повар универсал,ООО УК Семейный Парк,Нижний Новгород,https://lobnya.hh.ru/vacancy/79593654?from=vacancy_search_list&query=django
Кассир в семейный парк активного отдыха,ООО УК Семейный Парк,Екатеринбург,https://lobnya.hh.ru/vacancy/79593816?from=vacancy_search_list&query=django
Сетевой инженер,АО Смарт Инжиниринг,Москва,https://lobnya.hh.ru/vacancy/78521547?from=vacancy_search_list&query=django
Программист-разработчик (Junior Ruby on Rails Developer),Vertex Technologies,Бишкек,https://lobnya.hh.ru/vacancy/66576781?from=vacancy_search_list&query=django
Python Разработчик,ООО Либерум Навитас,Новосибирск,https://lobnya.hh.ru/vacancy/79571429?from=vacancy_search_list&query=django
Python Разработчик,ООО Либерум Навитас,Казань,https://lobnya.hh.ru/vacancy/79571430?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Екатеринбург,https://lobnya.hh.ru/vacancy/79177577?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Казань,https://lobnya.hh.ru/vacancy/79177578?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Омск,https://lobnya.hh.ru/vacancy/79177584?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Санкт-Петербург,https://lobnya.hh.ru/vacancy/79177576?from=vacancy_search_list&query=django
"Middle Python Developer (Front), в Сочи",АО НИИ МАСШТАБ,Томск,https://lobnya.hh.ru/vacancy/79177583?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Ставрополь,https://lobnya.hh.ru/vacancy/78743039?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Томск,https://lobnya.hh.ru/vacancy/78743033?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Нижний Новгород,https://lobnya.hh.ru/vacancy/78743034?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Екатеринбург,https://lobnya.hh.ru/vacancy/78743036?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Тюмень,https://lobnya.hh.ru/vacancy/78743041?from=vacancy_search_list&query=django
"Senior Python Developer, релокация в Сочи",АО НИИ МАСШТАБ,Новосибирск,https://lobnya.hh.ru/vacancy/78743040?from=vacancy_search_list&query=django
